Total_Review,review_type,encoded_review,preprocessed_review
 Minskey s restaurant wasn t open and we had tables very nicely set out in less intimate area adjacent to bar but still paid full restaurant prices Having to pay ridiculous amount for on site parking   Lovely staff Relaxed ambience Great fast lifts In general good food ,Good_review,1,minskey restaurant wasn open tables nicely set intimate area adjacent bar paid restaurant prices having pay ridiculous site parking lovely staff relaxed ambience great fast lifts general good food
 Room smelt like cigarettes and had to pay for breakfast ,Good_review,1,room smelt like cigarettes pay breakfast
 None  Location easy walking distance to several attraction and the opera house Junior suite nice and large quite Great breakfast Great service in parking the car,Good_review,1,location easy walking distance attraction opera house junior suite nice large great breakfast great service parking car
 Nothing  A very comfortable room Very well furnished and lots of room Great bathroom Great value for that part of London ,Good_review,1,comfortable room furnished lots room great bathroom great value london
 at checkin they asked to pay if i remember correctly 100 per night per room in addition to the price confirmed in booking com to hold and return when checkout But intstead i requested a full payment in advance for my stay to avoid having my money on hold So problem solved   Very nice hotel nice hospitality good location right in front of a metro station and a 15 mns walk to oxford st Rooms are clean and spacious ,Good_review,1,checkin asked pay remember correctly night room addition price confirmed booking hold return checkout intstead requested payment advance stay avoid having money hold problem solved nice hotel nice hospitality good location right metro station mns walk oxford st rooms clean spacious
 Small room with poor view for 450 euro 2 night visit  Location and cleanliness of hotel,Good_review,1,small room poor view euro night visit location cleanliness hotel
 Nothing  All staff,Good_review,1,staff
 Service from reception was terrible But everything else was really amazing  The look and feel,Good_review,1,service reception terrible amazing look feel
 staff are a little bit rude and location is far from centre if it s a rainy day  fantastic view from the rooms very quite and clean rooms and hotel generally ,Good_review,1,staff little bit rude location far centre rainy day fantastic view rooms clean rooms hotel generally
 There is no way to open windows You could hear everything coming from the bathroom no privacy   The room was very modern and clean The bathroom was spacious Good location Wifi worked well ,Good_review,1,way open windows hear coming bathroom privacy room modern clean bathroom spacious good location wifi worked
 The club lounge We got lots of chips and cheap no taste wine I felt like I am in a children party except for the wine of course Previous time I was here the club lounge was much better and that was why I booked it this time too But got very disappointed   Location,Good_review,1,club lounge got lots chips cheap taste wine felt like children party wine course previous time club lounge better booked time got disappointed location
 It s a bit dated and could do with an upgrade   Proximity ,Good_review,1,bit dated upgrade proximity
 Room and bathroom were very small   It was in a quiet safe area but a little far from city center ,Good_review,1,room bathroom small quiet safe area little far city center
  Very modern design comfort 100 Breakfast until noon ,Good_review,1,modern design comfort breakfast noon
 Lumpy pillows on the beds   The restaurant food and hotel service were excellent ,Good_review,1,lumpy pillows beds restaurant food hotel service excellent
  My 2nd stay at this Great hotel friendly and helpful staff Comfortable rooms spotlessly clean Great breakfast Will definitely visit again ,Good_review,1,stay great hotel friendly helpful staff comfortable rooms spotlessly clean great breakfast definitely visit
 Nothing Every thing very good  Staff very freindlley,Good_review,1,thing good staff freindlley
  close to everything in the city,Good_review,1,close city
 Everything  Nothing,Bad_review,0,
 i did not like the furneuer i was verry old and the light inside the room is not good   i like the location of the hotel ,Bad_review,0,like furneuer verry old light inside room good like location hotel
  Everything was just fine,Good_review,1,fine
 Got a supposed upgrade from a superior deluxe room to a studio room in another building which we were not happy about Then when we paid we gave 40 more over to the girl and she didn t count it right and didn t give us the change and when we said to her we have her more she said we didn t and that she counted it twice but we knew we gave her more   Room was nice ,Good_review,1,got supposed upgrade superior deluxe room studio room building happy paid gave girl didn count right didn change said said didn counted twice knew gave room nice
  lots of free extras,Good_review,1,lots free extras
 The big stain on the bedroom carpet I felt that the room was quite small with no view  The lobby and bathroom in our room,Bad_review,0,big stain bedroom carpet felt room small view lobby bathroom room
  Room was nice and clean amazing comfortable bed Tea and coffee facilities in the room Lovely champayne at the bar and the complimentary nuts was a nice touch Friendly staff happy to speak English with us and help out and perfect location for us to walk around and close to metro,Good_review,1,room nice clean amazing comfortable bed tea coffee facilities room lovely champayne bar complimentary nuts nice touch friendly staff happy speak english help perfect location walk close metro
 The room was very cold   Friendly staff great location excellent breakfast ,Good_review,1,room cold friendly staff great location excellent breakfast
 Car park needs re furbing   Rooms very comfortable and newly refurbished ,Good_review,1,car park needs furbing rooms comfortable newly refurbished
 Wake up call did not work at 4 o clock in the morning We had early flight The receptionist told us internet system did not work Something went rong  ,Good_review,1,wake work clock morning early flight receptionist told internet system work went rong
 There is no direct USB charging possibility on the sockets You can use buy a transformer for the socket or use the USB on the back of the TV but the latter is slow   Friendly and helpful staff clean and cosy room The hotel is situated within 100m of the underground station therefore being in zone3 cannot cause any problem The room was clean and cosy containing mini fridge and hair dryer There is a Hungarian waitress who was very kind to provide information about travelling around sightseeing and other topics ,Good_review,1,direct usb charging possibility sockets use buy transformer socket use usb tv slow friendly helpful staff clean cosy room hotel situated m underground station zone3 cause problem room clean cosy containing mini fridge hair dryer hungarian waitress kind provide information travelling sightseeing topics
 They don t have free wifi  The location is perfect if you don t have a lot of time and you want to have a look at the city centre ,Good_review,1,don free wifi location perfect don lot time want look city centre
 Room had everything except space Cramped don t like bed against the wall climbing over my husband to get in   Good general facilities and location Room too small ,Good_review,1,room space cramped don like bed wall climbing husband good general facilities location room small
 Everything had a price tag Being charged service automatically at the bar when we had queued up at the bar   The d cor very funky General feel about the place very relaxed cool ,Good_review,1,price tag charged service automatically bar queued bar cor funky general feel place relaxed cool
  The staff were excellent Very polite and attentive ,Good_review,1,staff excellent polite attentive
  Special thanks to Hector Judith and Maria ,Good_review,1,special thanks hector judith maria
 except the stadium security guard who insists on searching your whole luggage in the cold outside although there is no football game on and I m clearly aiming for the hotel and he wasn t particularly nice about it either unnecessary hassle for the customer after 24 travelling  staff extra helpful,Good_review,1,stadium security guard insists searching luggage cold outside football game clearly aiming hotel wasn particularly nice unnecessary hassle customer travelling staff extra helpful
 The smell of the towels  The location,Good_review,1,smell towels location
 No atmosphere in the so called champagne bar Poor design in bar More like an airport departure lounge  Comfortable room and bef,Good_review,1,atmosphere called champagne bar poor design bar like airport departure lounge comfortable room bef
 The central air conditioner wasn t working  The room was exceptionally comfortable,Good_review,1,central air conditioner wasn working room exceptionally comfortable
 We had some plumbing problems in our bathroom but in general the room was quite nice   The location next to major parks and the tube were great The staff was helpful and the complementary cookies are amazing ,Good_review,1,plumbing problems bathroom general room nice location major parks tube great staff helpful complementary cookies amazing
 Rooms to small for money paid pillows and beds to firm   Location and facilities,Good_review,1,rooms small money paid pillows beds firm location facilities
 The classic room is small  Pillows and the bed itself were incredibly comfortable,Good_review,1,classic room small pillows bed incredibly comfortable
 Plastic chairs in bar Noisy fan Decor aweful Plastic flowers   Bottle and water provided on floors Nice building,Bad_review,0,plastic chairs bar noisy fan decor aweful plastic flowers bottle water provided floors nice building
 For the price that I paid I would have expected breakfast to be included  Hotel was really clean Staff were fantastic ,Good_review,1,price paid expected breakfast included hotel clean staff fantastic
  Nice room good location lively bar ,Good_review,1,nice room good location lively bar
 The room was a little small for 2 people but we weren t in it much so it didn t really matter the area around Paddington station is still pretty grim but is definitely improving   Staff were cheerful polite friendly and competent not a grumpy one amongst them ,Good_review,1,room little small people weren didn matter area paddington station pretty grim definitely improving staff cheerful polite friendly competent grumpy
 The location isn t great lookswise it s basically on an industrial estate but it s one stop from the airport and 2 stops from the centre of Amsterdam so apart from the look of where it is it s a good location  Beautiful hotel Very stylish and the room was really nice and comfy and very spacious The staff let us check in when we arrived to drop our bags off which was 3 hours early The Skyy bar was great as well ,Good_review,1,location isn great lookswise basically industrial estate stop airport stops centre amsterdam apart look good location beautiful hotel stylish room nice comfy spacious staff let check arrived drop bags hours early skyy bar great
 it should be a 3 star hotel I do not think it is 4 star  location,Bad_review,0,star hotel think star location
 I noticed the sink was blocked in the bathroom as we was only staying 2 nights it wasn t a big deal But as we upgraded the room to a business suite so this is not something you would expect when paying extra   The room was lovely,Good_review,1,noticed sink blocked bathroom staying nights wasn big deal upgraded room business suite expect paying extra room lovely
 nothing  personel room decoration location is good,Good_review,1,personel room decoration location good
 Asked for a few more pillows because each of us are used to sleeping with 2 and there was 6 of us they struggled to be able to find any and brought 3 up but 2 with no pillow case Bit yuck  Loved the fact breakfast was free for the kids Cemented our decision to have breakfast in the hotel every morning Metro was very very convenient and easy to access Able to get to all major sight seeing attractions with little difficulty using the metro and rail systems Staff were wonderful all extremely helpful,Good_review,1,asked pillows sleeping struggled able find brought pillow case bit yuck loved fact breakfast free kids cemented decision breakfast hotel morning metro convenient easy access able major sight seeing attractions little difficulty metro rail systems staff wonderful extremely helpful
   Very big and comfortable rooms Personal and breakfast,Good_review,1,big comfortable rooms personal breakfast
 The room was small especially the bathroom which could only just about fit one person in My partner is 5ft 10 and only just fitted under the shower The room had some unfinished aspects for example wall sockets have been removed leaving behind undecorated square patches The most annoying aspect of the room however was if you turned on the bathroom light a large light in the bedroom then came on which couldn t be turned off very frustrating in the middle of the night and you are woken by it   The location was good the staff were pleasant and the room was very clean ,Bad_review,0,room small especially bathroom fit person partner ft fitted shower room unfinished aspects example wall sockets removed leaving undecorated square patches annoying aspect room turned bathroom light large light bedroom came couldn turned frustrating middle night woken location good staff pleasant room clean
 Walls are too thin everything could be heard from next door Traffic noise was bad but is only to be expected due to the convenient position  Everything apart from the poor insulation ,Good_review,1,walls thin heard door traffic noise bad expected convenient position apart poor insulation
 The hotel reserves the whole price of the stay on the credit card already during check in plus 150 eur extra which will be released later but you have to take that into account when booking this hotel Also when you stay in the club room you have to take note that a breakfast in the main building is not included in the price I did not know that but the hotel did not luckily charge us as we used it only once   Club room was very nice and the club lounge with snacks and drinks a very good addition It was a really good decision to book it it was worth the higher price The reception staff is really helpful and polite Overall a very good customer service experience ,Good_review,1,hotel reserves price stay credit card check plus eur extra released later account booking hotel stay club room note breakfast main building included price know hotel luckily charge club room nice club lounge snacks drinks good addition good decision book worth higher price reception staff helpful polite overall good customer service experience
  my second time there,Good_review,1,time
 Liked everything   Everything ,Good_review,1,liked
 That breakfast was not included  Location,Bad_review,0,breakfast included location
 Little bit expensive no room service  Very creative designs bikes are in the hotel beside the metro the room is full with comfort staff,Good_review,1,little bit expensive room service creative designs bikes hotel metro room comfort staff
 Food was improperly cooked  Room and bath location and surrounding areas,Good_review,1,food improperly cooked room bath location surrounding areas
 The water in the bath shower was not hot enough and the size of the room was a bit on the small side   The hotel was in an excellent location right on Las Ramblas My room was comfortable the pillows were very fluffy and the decor was classic and stylish ,Good_review,1,water bath shower hot size room bit small hotel excellent location right las ramblas room comfortable pillows fluffy decor classic stylish
 Nothing  Everything it s our default London hotel ,Good_review,1,default london hotel
 Booking com messing up the booking The actual hotel staff were absolutely amazing and sorted it within minutes  Every thing it was our first anniversary and the staff were amazing,Good_review,1,booking messing booking actual hotel staff absolutely amazing sorted minutes thing anniversary staff amazing
 The water from the shower leaked into our room   The modern decor and where the hotel is situated ,Good_review,1,water shower leaked room modern decor hotel situated
 Linen could have been a little more luxe Breakfast v expensive   Great bathroom and lovely room Very quiet Helpful staff ,Good_review,1,linen little luxe breakfast expensive great bathroom lovely room quiet helpful staff
  The staff were 10 10 delightful,Good_review,1,staff delightful
 Staff didn t even crack a smile as we checked in Almost felt like our stay was a bit of an inconvenience to them   Rooms were super trendy and high tech Loads of gadgets and super clean You can tell this is a new hotel ,Good_review,1,staff didn crack smile checked felt like stay bit inconvenience rooms super trendy high tech loads gadgets super clean tell new hotel
 Run down hotel The room view was horrendous overlooking the back service entrance Thin walls could hear the neighbors and some construction going on early in the morning Did not like the fact that I had to leave my key at the reception I was told it is for security reasons and was provided a card with which to identify myself but was asked only once for it and the other times there were people at the reception I have not seen before that did not bother asking for it Security I think not   The maid service And the location ,Bad_review,0,run hotel room view horrendous overlooking service entrance thin walls hear neighbors construction going early morning like fact leave key reception told security reasons provided card identify asked times people reception seen bother asking security think maid service location
  The staff is amazing ,Good_review,1,staff amazing
 not near the centre as advertised  bed was comfortable,Bad_review,0,near centre advertised bed comfortable
 Expensive breakfast  Clean comfortable hotel ideally situated for our stay ,Good_review,1,expensive breakfast clean comfortable hotel ideally situated stay
 Two staff members on in the morning were very helpful in swapping my room following being woken in the night twice by the stench of sewage in my room Staff on in the evening didn t really have a good grasp of English which didn t help checking in I asked for directions to a race my son was to run again I asked the same staff members for directions and the internet wasn t working well at all therefore no directions for me advice was to get a uber I paid for my stay upon arrival and upon check it was told I need to pay government tax again I had no idea what they were on about as they didn t explain nothing to me upon arrival And following the smell of sewage and very poor wifi which lost signal so frequently it was ridiculous and that the heated towel rail had its dial hanging off by the exposed wires I was so angry Overa would never return   Two daytime staff members were nice and helpful ,Bad_review,0,staff members morning helpful swapping room following woken night twice stench sewage room staff evening didn good grasp english didn help checking asked directions race son run asked staff members directions internet wasn working directions advice uber paid stay arrival check told need pay government tax idea didn explain arrival following smell sewage poor wifi lost signal frequently ridiculous heated towel rail dial hanging exposed wires angry overa return daytime staff members nice helpful
  The staff is amazing they take really good care of you The roof terasse is really nice for a drink before dinner and a great view ,Good_review,1,staff amazing good care roof terasse nice drink dinner great view
 The hotel has no shops nearby or any specific attraction to visit in that particular area Also you cannot walk towards the city centre because it takes a lot of time and the road is not pedestrian accessible   The hotel offers you a variety of services it s a quiet place to spend the night and has a very beautiful park across it where you can watch a wonderful sunset sunrise Also the bus stops are really close and you arrive in the centre of Amsterdam in less than 20 minutes ,Good_review,1,hotel shops nearby specific attraction visit particular area walk city centre takes lot time road pedestrian accessible hotel offers variety services quiet place spend night beautiful park watch wonderful sunset sunrise bus stops close arrive centre amsterdam minutes
 Stairs very narrow and rooms very small but beautifully appointed   Attention to detail and lounge area downstairs,Good_review,1,stairs narrow rooms small beautifully appointed attention detail lounge area downstairs
 Lounge chairs on terrace would be nice  Good service at restaurant Excellent venue for going to game at Camp Nou Taxi readily available in the morning ,Good_review,1,lounge chairs terrace nice good service restaurant excellent venue going game camp nou taxi readily available morning
 No temperature control in room very cold in the bedroom and too hot in the bathroom  Very convenient ferry to Canary Wharf runs frequently at peak times,Good_review,1,temperature control room cold bedroom hot bathroom convenient ferry canary wharf runs frequently peak times
 N A  The bed was of exceptional comfort and the staff where very friendly,Good_review,1,bed exceptional comfort staff friendly
 No cold water in bathroom both taps boiling hot Asked for more toilet roll three times no one bought any too our room in the two nights we stayed there  ,Bad_review,0,cold water bathroom taps boiling hot asked toilet roll times bought room nights stayed
 The bathroom TV was not tuned or working   Beautiful big bathroom speakers in the bathroom and room Queen bed was very comfortable Complimentary chocolate and bed made up with flower petals for our anniversary ,Good_review,1,bathroom tv tuned working beautiful big bathroom speakers bathroom room queen bed comfortable complimentary chocolate bed flower petals anniversary
 Pricey  Excellent location Helpful staff ,Good_review,1,pricey excellent location helpful staff
 The staff lacked warmth and were quite unfriendly Didnt make us feel welcome A very radical change from my experience when the hotel was managed by wyndham grand  Ambience location Swimming pool,Bad_review,0,staff lacked warmth unfriendly nt feel welcome radical change experience hotel managed wyndham grand ambience location swimming pool
 The checkin is a little tricky since there is no indication of where to go in the building thankfully there was someone entering that could help us The breakfast in the restaurant is a little bit far what can make it bad in a rainy day   Close to everything you can go everywhere walking near the train station We felt as part of the city The breakfast is excellent ,Good_review,1,checkin little tricky indication building thankfully entering help breakfast restaurant little bit far bad rainy day close walking near train station felt city breakfast excellent
 Heating is done via really loud airconditiong so you can either have it warm or quiet never both Except for the bathroom ventilation there is always on so it never gets warm  ,Good_review,1,heating loud airconditiong warm quiet bathroom ventilation gets warm
 the location was 10min bus from city centre and the bus stop was challenging  the suites are big and comfortable also the nespresso machine,Good_review,1,location 10min bus city centre bus stop challenging suites big comfortable nespresso machine
 Reception was understaffed and failed to pick up calls a few times   Excellent size rooms with great views over the marina ,Good_review,1,reception understaffed failed pick calls times excellent size rooms great views marina
 Not sure how this compares with other hotels in London as have only ever have spent nights in two of them But I found the room very small and basic The shower could use a thorough clean with descaler the sink was clogged when we arrived got fixed immediately I have to say The curtains were flimsy and torn the fridge was wedged awkwardly in the wardrobe There was an odd discrepancy between nice and clean linen for example and a relatively new floor but other bits that were in need of upkeep   The location and the friendliness of the staff Perhaps as London rates go especially in the Marathon weekend it was on the more affordable side But I can t really judge that ,Bad_review,0,sure compares hotels london spent nights found room small basic shower use thorough clean descaler sink clogged arrived got fixed immediately curtains flimsy torn fridge wedged awkwardly wardrobe odd discrepancy nice clean linen example relatively new floor bits need upkeep location friendliness staff london rates especially marathon weekend affordable judge
 Tom dixon wall abstract rubber wall decoration  Coktail waitress mixoligist service dandelion bar,Good_review,1,tom dixon wall abstract rubber wall decoration coktail waitress mixoligist service dandelion bar
 The bedroom was ok but very dated I did not see the point of the large dresser in the room I am afraid the bed was very uncomfortable it was like sleeping on a rack I am glad we stayed only one night our friends stayed for 4   The gorgeous jacuzzi bath was such an unexpected bonus in our standard double bedroom we had walked around the Ideal Home all day so was an amazing experience after our long day ,Good_review,1,bedroom ok dated point large dresser room afraid bed uncomfortable like sleeping rack glad stayed night friends stayed gorgeous jacuzzi bath unexpected bonus standard double bedroom walked ideal home day amazing experience long day
 It was too hot in room The sink in bathroom was too low knee high   Excelent location Very helpful and professional staff Large bathroom with bath and shower Elemis spa toiletries ,Good_review,1,hot room sink bathroom low knee high excelent location helpful professional staff large bathroom bath shower elemis spa toiletries
  Great location Great staff the suite with the pool is amazing ,Good_review,1,great location great staff suite pool amazing
 The wifi didn t work in my room so I couldn t access the Internet The view out of my window was Victoria station not very interesting   The room was perfect and the bed was like heaven The staff were amazingly friendly nothing seemed inconvenient for them The location is brilliant due to transport Easy to find and the breakfast was spot on ,Good_review,1,wifi didn work room couldn access internet view window victoria station interesting room perfect bed like heaven staff amazingly friendly inconvenient location brilliant transport easy find breakfast spot
 Smell of cigarette smoke in the bathroom Limited breakfast   Staff friendliness ,Bad_review,0,smell cigarette smoke bathroom limited breakfast staff friendliness
  Great location Nice facilities Lovely decor ,Good_review,1,great location nice facilities lovely decor
 Although we were in a non smoking hotel the corridors smelled quite smokey and this affected us Some residents must have been smoking   did not eat here,Good_review,1,non smoking hotel corridors smelled smokey affected residents smoking eat
 That I had to leave however will return again when visiting London   It perfect location lovely hotel great staff Ideal if your going to explore or relax as the spa is fabulous ,Good_review,1,leave return visiting london perfect location lovely hotel great staff ideal going explore relax spa fabulous
 No hotel bar or lounge Restaurant separate and lot of off street trade I was unable to get booking although quick to provide room service   Big roomy bedroom Comfortable bed ,Good_review,1,hotel bar lounge restaurant separate lot street trade unable booking quick provide room service big roomy bedroom comfortable bed
  I loved the roof terrace and the spa The staff were very polite the hotel was central to the city and the breakfast had a wide range of choices,Good_review,1,loved roof terrace spa staff polite hotel central city breakfast wide range choices
 Had promble with elevator bathroom light and phone But when reported they where fixed right away So not really a promble   Very nice Europe breakfast Good location A lot of little resturants in walking distance ,Good_review,1,promble elevator bathroom light phone reported fixed right away promble nice europe breakfast good location lot little resturants walking distance
  excellent location three mins walk fro Great Portland St tube Clean and in good state of repair ,Good_review,1,excellent location mins walk fro great portland st tube clean good state repair
 Room needs some tlc was perfectly adequate but was a little worn out   Excellent location extremely helpful polite staff ,Good_review,1,room needs tlc perfectly adequate little worn excellent location extremely helpful polite staff
 Small corner room   Quiet room,Good_review,1,small corner room quiet room
 Prijsjes en sleutels  Taarten en kaarten,Good_review,1,prijsjes en sleutels taarten en kaarten
 Nothing  Excellent location 100m from tram very helpful staff fabulous breakfast great balcony,Good_review,1,excellent location m tram helpful staff fabulous breakfast great balcony
 The room looks a bit tired and could use some renovation   The staff was very helpful We were allowed to check in early Location is great ,Good_review,1,room looks bit tired use renovation staff helpful allowed check early location great
 Bad WiFi service in the room There are different types of rooms you never know how lucky you ll be One simple change of the name on the invoice took three corrections attempts by the receptionists  ,Bad_review,0,bad wifi service room different types rooms know lucky ll simple change invoice took corrections attempts receptionists
 Room size   modern and clean Pleasant staff Good location ,Good_review,1,room size modern clean pleasant staff good location
 we thought the bed rooms a bit sparse and lacking pictures Room 5 where we were did not have a particularly good out look onto a broken down wood decking next time we shall be asking for a room on the first floor maybe witha better view  ,Good_review,1,thought bed rooms bit sparse lacking pictures room particularly good look broken wood decking time shall asking room floor maybe witha better view
 Needed more choice of food in ground floor bar menu   Position Breakfast ,Good_review,1,needed choice food ground floor bar menu position breakfast
 As with all Paris rooms the bedrooms are extremely small and it s not going to please those used to lots of space in hotel chains They could as all hotels provide more toiletries  The location is just perfect I ve stayed here 4 times now Quiet next to the Luxembourg Gardens and with the profusion of shopping opportunities on Boulevard St Germain and restaurants near the Sorbonne I love it The hotel has now got an honesty bar and sitting area in the ground floor lobby,Good_review,1,paris rooms bedrooms extremely small going lots space hotel chains hotels provide toiletries location perfect ve stayed times quiet luxembourg gardens profusion shopping opportunities boulevard st germain restaurants near sorbonne love hotel got honesty bar sitting area ground floor lobby
 1 Did not like having to pay an additional deposit on checking in as well as settling the room on check in rather than check out 2 Rooms very noisy with noise coming from floor above footsteps TV phone calls and children crying   The staff were friendly and nothing too much trouble The afternoon tea was excellent combined with the ambience of the property with interesting d cor ,Good_review,1,like having pay additional deposit checking settling room check check rooms noisy noise coming floor footsteps tv phone calls children crying staff friendly trouble afternoon tea excellent combined ambience property interesting cor
  Wonderful hotel great location and very helpful staff ,Good_review,1,wonderful hotel great location helpful staff
 The staff was not friendly The bar area was tiny   The room was large,Bad_review,0,staff friendly bar area tiny room large
 Drinks and food are very pricey Which makes you want to eat and drink outside the hotel   Trendy hotel great location easy access to all locations very quiet at night enabling a good nights sleep,Good_review,1,drinks food pricey makes want eat drink outside hotel trendy hotel great location easy access locations quiet night enabling good nights sleep
 Nothing  Beautiful room luxurious bathroom delicious breakfast super friendly staff ,Good_review,1,beautiful room luxurious bathroom delicious breakfast super friendly staff
  Exellent location food staff ,Good_review,1,exellent location food staff
 Noise of the tram stop near the window   Nice breakfast and wi fi ,Good_review,1,noise tram stop near window nice breakfast wi fi
 We have stayed at this hotel many times but on this occasion we had a very bad experience As we checked in with our three bags at our feet our bag with hand luggage was stolen It was proved by the overhead camera We filed a police report but so far no word from them We will never stay at this hotel again   Convenient location next to the railway station Reasonably priced ,Good_review,1,stayed hotel times occasion bad experience checked bags feet bag hand luggage stolen proved overhead camera filed police report far word stay hotel convenient location railway station reasonably priced
  Staff where polite and friendly and you where made to feel welcome Room was large and clean with all you would want ,Good_review,1,staff polite friendly feel welcome room large clean want
 Nothing  Great hotel two minutes from Islington High Street Great access to Union Chapel music venue via No 30 bus outside the hotel ,Good_review,1,great hotel minutes islington high street great access union chapel music venue bus outside hotel
 Continental breakfast could have been inclusive   Staff were friendly and helpful Location was excellent ,Good_review,1,continental breakfast inclusive staff friendly helpful location excellent
 Everything was lovely  The hotel staff were really approachable and friendly really impressed with the service they provided The hotel was lovely and reasonably priced as well it was clean and nicely decorated I would happily recommend this hotel to anyone wanting to stay ,Good_review,1,lovely hotel staff approachable friendly impressed service provided hotel lovely reasonably priced clean nicely decorated happily recommend hotel wanting stay
 Little bit pricy   Good location clean peacefull ,Good_review,1,little bit pricy good location clean peacefull
  The location is in a great neighborhood with many restaurants shops and bars The closeness to the gare the lyon is another plus Our room to the court was very quiet and we shared a junior suite among 3 friends The bathroom was super spacious and the hot shower and big bathtub were a blessing after a day out in january cold Paris We ll come back ,Good_review,1,location great neighborhood restaurants shops bars closeness gare lyon plus room court quiet shared junior suite friends bathroom super spacious hot shower big bathtub blessing day january cold paris ll come
  Just around the corner from Oxford street we had a deluxe room which was a decent sized lovely room staff and concierge were very helpful and friendly breakfast was lovely with excellent choices loved our stay here will definitely return,Good_review,1,corner oxford street deluxe room decent sized lovely room staff concierge helpful friendly breakfast lovely excellent choices loved stay definitely return
 Costa coffee only for corp customers not general people staying  ,Good_review,1,costa coffee corp customers general people staying
 dirty old shabby room needs a refit  staff great courteous helpful friendly,Bad_review,0,dirty old shabby room needs refit staff great courteous helpful friendly
  Very clean and comfortable Staff were very courteous and helpful We would definitely stay there again ,Good_review,1,clean comfortable staff courteous helpful definitely stay
 Didn t have a room with a view but wasn t in the room much so wasn t that bothered overall   The best parts about the hotel were spacious rooms large bathroom friendly staff location was perfect and quiet short walk from shops bars restaurants that were all lovely not far from the centre pool was lovely free snacks was amazing in the afternoon Would highly recommend ,Good_review,1,didn room view wasn room wasn bothered overall best parts hotel spacious rooms large bathroom friendly staff location perfect quiet short walk shops bars restaurants lovely far centre pool lovely free snacks amazing afternoon highly recommend
 small room breakfast is very limited  nice staff good location elegant cleen,Good_review,1,small room breakfast limited nice staff good location elegant cleen
 The decoration is too dark  The room is very clean and helpful staff ,Good_review,1,decoration dark room clean helpful staff
 Faint smell of stale smoke in the room on arrival  Really comfy bed Reasonably spacious room Excellent location in Central London ,Good_review,1,faint smell stale smoke room arrival comfy bed reasonably spacious room excellent location central london
  Everything was how it should be helpful staff clean and quiet The hotel is well situated within a few minutes of Las Ramblas and Gracia,Good_review,1,helpful staff clean quiet hotel situated minutes las ramblas gracia
 Nothing  Excellent hotel close to lots of places to eat Staff we always polite and attentitive including the ladies that serviced the rooms And close to metro station which we used everyday,Good_review,1,excellent hotel close lots places eat staff polite attentitive including ladies serviced rooms close metro station everyday
 See above  The apartment was in a great location overlooking the canals The only drawback was that we needed to negotiate steep stairs as there was no lift This was an issue as we were at the end of a 7 week holiday with lots of luggage Thankful that we were only on the first floor It would have been nice if we were aware of this from the beginning ,Good_review,1,apartment great location overlooking canals drawback needed negotiate steep stairs lift issue end week holiday lots luggage thankful floor nice aware beginning
 No complaints at all   Everything I d suggest getting breakfast included The staff are really good and are always happy to help We ll definitely be back for a third time in a few years ,Good_review,1,complaints suggest getting breakfast included staff good happy help ll definitely time years
 Unfortunately the bar on the roof terrace is only open during certain hours   The hotel is in a great location just around the block from the Sagrada Familia We received a warm welcome from reception each time we entered the hotel The view from the rooftop bar was fantastic a great place to sit and enjoy a drink and the sun sets over Barcelona ,Good_review,1,unfortunately bar roof terrace open certain hours hotel great location block sagrada familia received warm welcome reception time entered hotel view rooftop bar fantastic great place sit enjoy drink sun sets barcelona
 The room was small   We enjoyed our stay Nice breakfast choices ,Good_review,1,room small enjoyed stay nice breakfast choices
  Great staff bar food and location ,Good_review,1,great staff bar food location
 Too far a way from city center  Window view,Good_review,1,far way city center window view
 Shower  Atmosphere,Good_review,1,shower atmosphere
 We had a room with a small window to the roof But was good   The hotel is in the middle of the city and next to everything nice restaurant downstairs people who works there were very welcoming and polite only one he was rude I don t remember the name They gave us a room with bathtub ,Good_review,1,room small window roof good hotel middle city nice restaurant downstairs people works welcoming polite rude don remember gave room bathtub
 The pillows were awful Way too hard   The room was huge and very nice ,Bad_review,0,pillows awful way hard room huge nice
 Not being able to open the windows at all even slightly ajar   Excellent location food was great even better than Hoxton Shoreditch rooms are lovely late checkout possible Fantastic stay,Good_review,1,able open windows slightly ajar excellent location food great better hoxton shoreditch rooms lovely late checkout possible fantastic stay
 There was no cattle in the room The breakfast was okay but the area is quite small to accommodate all visitors in the morning and it was quite crowded   It was our second visit to this hotel and we stayed there for 2 days The room was quite big and clean The staff was helpful There was a big free parking place which is very convenient if you travel by car ,Good_review,1,cattle room breakfast okay area small accommodate visitors morning crowded visit hotel stayed days room big clean staff helpful big free parking place convenient travel car
 Breakfast package Scrambled eggs were salty and greasy It was pretty much the same for all the other cooked dishes Only good thing is fresh OJ to cut the grease Get breakfast elsewhere Location is great but noisy If your room faces the street you will hear traffic noise So if you get a room where the thermostat to control heat or cooling does not work and you open the glass door for some air be prepared for traffic noise and smell of car exhaust If you get a room along small atrium it is quiet but stuffy for 2 people occupancy   Staff was very accommodating Location is in walking distance to many local sites such as Casa Batllo Casa Milla restaurants shops Las Ramblas and public transportation ,Good_review,1,breakfast package scrambled eggs salty greasy pretty cooked dishes good thing fresh oj cut grease breakfast location great noisy room faces street hear traffic noise room thermostat control heat cooling work open glass door air prepared traffic noise smell car exhaust room small atrium quiet stuffy people occupancy staff accommodating location walking distance local sites casa batllo casa milla restaurants shops las ramblas public transportation
